timestamp,function_name,active_instances
2025-02-23 19:20:00+00:00,exif-processor,16
2025-02-23 19:19:00+00:00,exif-processor,11
2025-02-23 19:18:00+00:00,exif-processor,5
2025-02-23 19:17:00+00:00,exif-processor,1
2025-02-23 19:16:00+00:00,exif-processor,0
2025-02-23 19:15:00+00:00,exif-processor,0
2025-02-23 19:14:00+00:00,exif-processor,0
2025-02-23 19:13:00+00:00,exif-processor,0
2025-02-23 19:12:00+00:00,exif-processor,0
2025-02-23 19:11:00+00:00,exif-processor,0
2025-02-23 19:10:00+00:00,exif-processor,0
2025-02-23 19:20:00+00:00,format-converter,37
2025-02-23 19:19:00+00:00,format-converter,26
2025-02-23 19:18:00+00:00,format-converter,18
2025-02-23 19:17:00+00:00,format-converter,5
2025-02-23 19:16:00+00:00,format-converter,3
2025-02-23 19:15:00+00:00,format-converter,4
2025-02-23 19:14:00+00:00,format-converter,4
2025-02-23 19:13:00+00:00,format-converter,5
2025-02-23 19:12:00+00:00,format-converter,5
2025-02-23 19:11:00+00:00,format-converter,5
2025-02-23 19:10:00+00:00,format-converter,5
2025-02-23 19:20:00+00:00,input-handler,14
2025-02-23 19:19:00+00:00,input-handler,8
2025-02-23 19:18:00+00:00,input-handler,10
2025-02-23 19:17:00+00:00,input-handler,4
2025-02-23 19:16:00+00:00,input-handler,1
2025-02-23 19:15:00+00:00,input-handler,0
2025-02-23 19:14:00+00:00,input-handler,0
2025-02-23 19:13:00+00:00,input-handler,0
2025-02-23 19:12:00+00:00,input-handler,0
2025-02-23 19:11:00+00:00,input-handler,0
2025-02-23 19:10:00+00:00,input-handler,0
2025-02-23 19:20:00+00:00,metadata-extractor,42
2025-02-23 19:19:00+00:00,metadata-extractor,19
2025-02-23 19:18:00+00:00,metadata-extractor,5
2025-02-23 19:17:00+00:00,metadata-extractor,1
2025-02-23 19:16:00+00:00,metadata-extractor,0
2025-02-23 19:15:00+00:00,metadata-extractor,0
2025-02-23 19:14:00+00:00,metadata-extractor,0
2025-02-23 19:13:00+00:00,metadata-extractor,0
2025-02-23 19:12:00+00:00,metadata-extractor,0
2025-02-23 19:11:00+00:00,metadata-extractor,0
2025-02-23 19:10:00+00:00,metadata-extractor,0
2025-02-23 19:20:00+00:00,rgb-channel-separator,45
2025-02-23 19:19:00+00:00,rgb-channel-separator,28
2025-02-23 19:18:00+00:00,rgb-channel-separator,16
2025-02-23 19:17:00+00:00,rgb-channel-separator,4
2025-02-23 19:16:00+00:00,rgb-channel-separator,3
2025-02-23 19:15:00+00:00,rgb-channel-separator,3
2025-02-23 19:14:00+00:00,rgb-channel-separator,3
2025-02-23 19:13:00+00:00,rgb-channel-separator,3
2025-02-23 19:12:00+00:00,rgb-channel-separator,3
2025-02-23 19:11:00+00:00,rgb-channel-separator,4
2025-02-23 19:10:00+00:00,rgb-channel-separator,4
2025-02-23 19:20:00+00:00,thumbnail-generator,42
2025-02-23 19:19:00+00:00,thumbnail-generator,21
2025-02-23 19:18:00+00:00,thumbnail-generator,9
2025-02-23 19:17:00+00:00,thumbnail-generator,6
2025-02-23 19:16:00+00:00,thumbnail-generator,1
2025-02-23 19:15:00+00:00,thumbnail-generator,0
2025-02-23 19:14:00+00:00,thumbnail-generator,0
2025-02-23 19:13:00+00:00,thumbnail-generator,0
2025-02-23 19:12:00+00:00,thumbnail-generator,0
2025-02-23 19:11:00+00:00,thumbnail-generator,0
2025-02-23 19:10:00+00:00,thumbnail-generator,0
