timestamp,function_name,active_instances
2025-02-23 19:33:00+00:00,exif-processor,18
2025-02-23 19:32:00+00:00,exif-processor,9
2025-02-23 19:31:00+00:00,exif-processor,10
2025-02-23 19:30:00+00:00,exif-processor,5
2025-02-23 19:29:00+00:00,exif-processor,0
2025-02-23 19:28:00+00:00,exif-processor,1
2025-02-23 19:27:00+00:00,exif-processor,0
2025-02-23 19:26:00+00:00,exif-processor,0
2025-02-23 19:25:00+00:00,exif-processor,0
2025-02-23 19:24:00+00:00,exif-processor,0
2025-02-23 19:23:00+00:00,exif-processor,0
2025-02-23 19:22:00+00:00,exif-processor,2
2025-02-23 19:33:00+00:00,format-converter,55
2025-02-23 19:32:00+00:00,format-converter,39
2025-02-23 19:31:00+00:00,format-converter,29
2025-02-23 19:30:00+00:00,format-converter,16
2025-02-23 19:29:00+00:00,format-converter,5
2025-02-23 19:28:00+00:00,format-converter,2
2025-02-23 19:27:00+00:00,format-converter,4
2025-02-23 19:26:00+00:00,format-converter,5
2025-02-23 19:25:00+00:00,format-converter,5
2025-02-23 19:24:00+00:00,format-converter,8
2025-02-23 19:23:00+00:00,format-converter,6
2025-02-23 19:22:00+00:00,format-converter,9
2025-02-23 19:33:00+00:00,input-handler,15
2025-02-23 19:32:00+00:00,input-handler,7
2025-02-23 19:31:00+00:00,input-handler,8
2025-02-23 19:30:00+00:00,input-handler,4
2025-02-23 19:29:00+00:00,input-handler,1
2025-02-23 19:28:00+00:00,input-handler,0
2025-02-23 19:27:00+00:00,input-handler,0
2025-02-23 19:26:00+00:00,input-handler,0
2025-02-23 19:25:00+00:00,input-handler,0
2025-02-23 19:24:00+00:00,input-handler,0
2025-02-23 19:23:00+00:00,input-handler,0
2025-02-23 19:22:00+00:00,input-handler,0
2025-02-23 19:33:00+00:00,metadata-extractor,47
2025-02-23 19:32:00+00:00,metadata-extractor,17
2025-02-23 19:31:00+00:00,metadata-extractor,15
2025-02-23 19:30:00+00:00,metadata-extractor,5
2025-02-23 19:29:00+00:00,metadata-extractor,1
2025-02-23 19:28:00+00:00,metadata-extractor,0
2025-02-23 19:27:00+00:00,metadata-extractor,0
2025-02-23 19:26:00+00:00,metadata-extractor,0
2025-02-23 19:25:00+00:00,metadata-extractor,0
2025-02-23 19:24:00+00:00,metadata-extractor,0
2025-02-23 19:23:00+00:00,metadata-extractor,0
2025-02-23 19:22:00+00:00,metadata-extractor,0
2025-02-23 19:33:00+00:00,rgb-channel-separator,65
2025-02-23 19:32:00+00:00,rgb-channel-separator,36
2025-02-23 19:31:00+00:00,rgb-channel-separator,22
2025-02-23 19:30:00+00:00,rgb-channel-separator,10
2025-02-23 19:29:00+00:00,rgb-channel-separator,5
2025-02-23 19:28:00+00:00,rgb-channel-separator,2
2025-02-23 19:27:00+00:00,rgb-channel-separator,1
2025-02-23 19:26:00+00:00,rgb-channel-separator,1
2025-02-23 19:25:00+00:00,rgb-channel-separator,3
2025-02-23 19:24:00+00:00,rgb-channel-separator,3
2025-02-23 19:23:00+00:00,rgb-channel-separator,3
2025-02-23 19:22:00+00:00,rgb-channel-separator,4
2025-02-23 19:33:00+00:00,thumbnail-generator,40
2025-02-23 19:32:00+00:00,thumbnail-generator,23
2025-02-23 19:31:00+00:00,thumbnail-generator,11
2025-02-23 19:30:00+00:00,thumbnail-generator,5
2025-02-23 19:29:00+00:00,thumbnail-generator,1
2025-02-23 19:28:00+00:00,thumbnail-generator,0
2025-02-23 19:27:00+00:00,thumbnail-generator,0
2025-02-23 19:26:00+00:00,thumbnail-generator,0
2025-02-23 19:25:00+00:00,thumbnail-generator,0
2025-02-23 19:24:00+00:00,thumbnail-generator,0
2025-02-23 19:23:00+00:00,thumbnail-generator,0
2025-02-23 19:22:00+00:00,thumbnail-generator,0
