timestamp,service_name,startup_latency_ms
2025-02-23 19:21:33.441000+00:00,exif-processor,0.0
2025-02-23 19:32:33.441000+00:00,exif-processor,0.0
2025-02-23 19:31:33.441000+00:00,exif-processor,0.0
2025-02-23 19:30:33.441000+00:00,exif-processor,0.0
2025-02-23 19:29:33.441000+00:00,exif-processor,0.0
2025-02-23 19:28:33.441000+00:00,exif-processor,0.0
2025-02-23 19:27:33.441000+00:00,exif-processor,0.0
2025-02-23 19:26:33.441000+00:00,exif-processor,0.0
2025-02-23 19:25:33.441000+00:00,exif-processor,0.0
2025-02-23 19:24:33.441000+00:00,exif-processor,0.0
2025-02-23 19:23:33.441000+00:00,exif-processor,0.0
2025-02-23 19:22:33.441000+00:00,exif-processor,0.0
2025-02-23 19:21:33.441000+00:00,exif-processor,0.0
2025-02-23 19:32:33.441000+00:00,exif-processor,0.0
2025-02-23 19:31:33.441000+00:00,exif-processor,1616.769325
2025-02-23 19:30:33.441000+00:00,exif-processor,1432.1734
2025-02-23 19:29:33.441000+00:00,exif-processor,1222.3275714285717
2025-02-23 19:28:33.441000+00:00,exif-processor,1083.7102499999996
2025-02-23 19:27:33.441000+00:00,exif-processor,0.0
2025-02-23 19:26:33.441000+00:00,exif-processor,1917.8509999999999
2025-02-23 19:24:33.441000+00:00,format-converter,0.0
2025-02-23 19:23:33.441000+00:00,format-converter,0.0
2025-02-23 19:22:33.441000+00:00,format-converter,0.0
2025-02-23 19:21:33.441000+00:00,format-converter,0.0
2025-02-23 19:32:33.441000+00:00,format-converter,0.0
2025-02-23 19:31:33.441000+00:00,format-converter,0.0
2025-02-23 19:30:33.441000+00:00,format-converter,0.0
2025-02-23 19:29:33.441000+00:00,format-converter,0.0
2025-02-23 19:28:33.441000+00:00,format-converter,0.0
2025-02-23 19:27:33.441000+00:00,format-converter,0.0
2025-02-23 19:26:33.441000+00:00,format-converter,0.0
2025-02-23 19:25:33.441000+00:00,format-converter,0.0
2025-02-23 19:24:33.441000+00:00,format-converter,0.0
2025-02-23 19:23:33.441000+00:00,format-converter,0.0
2025-02-23 19:22:33.441000+00:00,format-converter,0.0
2025-02-23 19:21:33.441000+00:00,format-converter,0.0
2025-02-23 19:32:33.441000+00:00,format-converter,0.0
2025-02-23 19:31:33.441000+00:00,format-converter,1479.1489986666666
2025-02-23 19:30:33.441000+00:00,format-converter,1292.9604050139144
2025-02-23 19:29:33.441000+00:00,format-converter,1137.175047489402
2025-02-23 19:28:33.441000+00:00,format-converter,1159.0527654041232
2025-02-23 19:27:33.441000+00:00,format-converter,1849.1147
2025-02-23 19:26:33.441000+00:00,format-converter,1187.2435
2025-02-23 19:21:33.441000+00:00,input-handler,0.0
2025-02-23 19:32:33.441000+00:00,input-handler,0.0
2025-02-23 19:31:33.441000+00:00,input-handler,0.0
2025-02-23 19:30:33.441000+00:00,input-handler,0.0
2025-02-23 19:29:33.441000+00:00,input-handler,0.0
2025-02-23 19:28:33.441000+00:00,input-handler,0.0
2025-02-23 19:27:33.441000+00:00,input-handler,0.0
2025-02-23 19:26:33.441000+00:00,input-handler,0.0
2025-02-23 19:25:33.441000+00:00,input-handler,0.0
2025-02-23 19:24:33.441000+00:00,input-handler,0.0
2025-02-23 19:23:33.441000+00:00,input-handler,0.0
2025-02-23 19:22:33.441000+00:00,input-handler,0.0
2025-02-23 19:21:33.441000+00:00,input-handler,0.0
2025-02-23 19:32:33.441000+00:00,input-handler,0.0
2025-02-23 19:31:33.441000+00:00,input-handler,2271.7128125000004
2025-02-23 19:30:33.441000+00:00,input-handler,1382.52325
2025-02-23 19:29:33.441000+00:00,input-handler,1138.9270269290887
2025-02-23 19:28:33.441000+00:00,input-handler,1245.4903508196257
2025-02-23 19:27:33.441000+00:00,input-handler,1684.7250718413627
2025-02-23 19:26:33.441000+00:00,input-handler,0.0
2025-02-23 19:21:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:32:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:31:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:30:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:29:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:28:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:27:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:26:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:25:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:24:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:23:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:22:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:21:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:32:33.441000+00:00,metadata-extractor,0.0
2025-02-23 19:31:33.441000+00:00,metadata-extractor,2213.703611111111
2025-02-23 19:30:33.441000+00:00,metadata-extractor,1638.5324991276616
2025-02-23 19:29:33.441000+00:00,metadata-extractor,2058.8494772727277
